call_id,iteration,stage_order,stage_id,prompt_path,log_path,exit_code,status,started_at,finished_at,notes
initial_00_latex_template,1,0,latex_template,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_00_latex_template.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_00_latex_template.log,0,pass,2026-06-04T02:01:36,2026-06-04T02:03:13,
initial_01_intake,1,1,intake,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_01_intake.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_01_intake.log,0,pass,2026-06-04T02:03:13,2026-06-04T02:04:03,
initial_02_eda,1,2,eda,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_02_eda.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_02_eda.log,0,pass,2026-06-04T02:04:03,2026-06-04T02:04:57,
initial_03_task_analysis,1,3,task_analysis,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_03_task_analysis.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_03_task_analysis.log,0,pass,2026-06-04T02:04:57,2026-06-04T02:06:36,
initial_04_prior_retrieval,1,4,prior_retrieval,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_04_prior_retrieval.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_04_prior_retrieval.log,0,pass,2026-06-04T02:06:36,2026-06-04T02:07:23,
initial_05_model_route,1,5,model_route,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_05_model_route.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_05_model_route.log,0,pass,2026-06-04T02:07:23,2026-06-04T02:08:42,
initial_06_codegen,1,6,codegen,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_06_codegen.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_06_codegen.log,0,pass,2026-06-04T02:08:42,2026-06-04T02:09:52,
initial_07_results_freeze,1,7,results_freeze,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_07_results_freeze.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_07_results_freeze.log,0,pass,2026-06-04T02:09:52,2026-06-04T02:12:03,
initial_08_figures,1,8,figures,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_08_figures.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_08_figures.log,0,pass,2026-06-04T02:12:03,2026-06-04T02:21:41,
initial_09_paper_draft,1,9,paper_draft,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_09_paper_draft.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_09_paper_draft.log,0,pass,2026-06-04T02:21:41,2026-06-04T02:22:19,
initial_10_paper_full,1,10,paper_full,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_10_paper_full.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_10_paper_full.log,0,pass,2026-06-04T02:22:19,2026-06-04T02:32:14,
initial_11_auto_review,1,11,auto_review,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/workspace/agent_stage_initial_11_auto_review.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX/logs/agent_initial_11_auto_review.log,0,pass,2026-06-04T02:32:14,2026-06-04T02:34:22,
